Id,Name,Latitude,Longitude,Altitude,Timezone,Recordings_Count,Id
48395,2023 Baja Rancho Cinega,32.538,-116.318,100,America/Tijuana,9353,48395
48438,2023 Bridge St Pond,33.8625,-117.072,100,America/Los_Angeles,1295,48438
48455,2023 Colusa NWR T27.1,39.13754,-122.028,100,America/Los_Angeles,4397,48455
48453,2023 Colusa NWR T27.2,39.14083,-122.028,100,America/Los_Angeles,3595,48453
48473,2023 Conaway Ranch - HQ,38.6478,-121.668,100,America/Los_Angeles,3024,48473
48474,2023 Conaway Ranch NE,38.65345,-121.67,100,America/Los_Angeles,3317,48474
48477,2023 Conaway Ranch North 1,38.65123,-121.687,100,America/Los_Angeles,2518,48477
48476,2023 Conaway Ranch North 2,38.65458,-121.685,100,America/Los_Angeles,3167,48476
48462,2023 Creed Rd,38.241,-121.888,100,America/Los_Angeles,9724,48462
48454,2023 Delevan NWR T43.1,39.2786,-122.105,100,America/Los_Angeles,4546,48454
48877,2023 Delevan NWR T43.2 - fix lat lon,39.279,-122.105,100,America/Los_Angeles,8760,48877
48472,2023 Delevan T6,39.32665,-122.115,100,America/Los_Angeles,4019,48472
48463,2023 Hale Road,39.08352,-121.512,100,America/Los_Angeles,5826,48463
48468,2023 Hale Road Site 2,39.08342,-121.512,100,America/Los_Angeles,6331,48468
48457,2023 Iron Point,38.647,-121.104,564,America/Los_Angeles,7570,48457
48434,2023 Kentucky Lateral,38.6717,-121.71,100,America/Los_Angeles,2664,48434
48467,2023 Kern - Canebreak Ecological Reserve 4,35.73148,-118.166,100,America/Los_Angeles,5603,48467
48470,2023 Kern - HQ2,35.66687,-118.308,100,America/Los_Angeles,7192,48470
48465,2023 Leguna Fry Confluence - Site 1,38.48629,-121.279,100,America/Los_Angeles,2894,48465
48459,2023 Leguna Fry Confluence - 45 Sump,38.4731,-121.276,100,America/Los_Angeles,3897,48459
48396,2023 Leguna Seca,36.57177,-121.768,100,America/Los_Angeles,1,48396
48428,2023 Los Vaqueros - Walnut Trail Marsh,38.83771,-121.696,100,America/Los_Angeles,6544,48428
48444,2023 Los Vasqueros Reservoir,38.83771,-121.696,100,America/Los_Angeles,9255,48444
48435,2023 Markham Ravine A,38.88967,-121.464,100,America/Los_Angeles,710,48435
48436,2023 Markham Ravine B,38.88963,-121.466,100,America/Los_Angeles,4529,48436
48446,2023 Merced NWR - Cottonwood,37.19175,-120.602,100,America/Los_Angeles,2522,48446
48490,2023 Merced NWR Deadman Wetland Ditch,37.18525,-120.636,100,America/Los_Angeles,2511,48490
48448,2023 North Regional Pond,38.6639,-121.712,100,America/Los_Angeles,4520,48448
48397,2023 OR Dizney Rd,44.72271,-121.238,100,America/Los_Angeles,5551,48397
48392,2023 OR Eureka Rd,44.57825,-121.194,100,America/Los_Angeles,6196,48392
48445,2023 OR Prineville North,44.36494,-120.919,100,America/Los_Angeles,5544,48445
44867,2023 Panoche Creek - Corrals NW,36.58793,-120.767,100,America/Los_Angeles,3162,44867
48879,2023 Panoche Creek - Corrals NW try 2,36.58793,-120.767,100,America/Los_Angeles,3162,48879
44956,2023 Panoche Creek - corrals SE,36.58749,-120.765,100,America/Los_Angeles,3164,44956
48796,2023 Panoche Creek Preserve - Corrals NW,36.58793,-120.767,100,America/Los_Angeles,3162,48796
48797,2023 Panoche Creek Preserve - Corrals SE,36.58749,-120.765,100,America/Los_Angeles,3161,48797
48461,2023 Peterson Ranch Pond - West,34.63307,-118.32,100,America/Los_Angeles,8202,48461
48440,2023 Peterson Ranch Pond - East,34.63236,-118.318,100,America/Los_Angeles,8203,48440
48475,2023 Plumas Arboga 2,39.0338,-121.524,100,America/Los_Angeles,3089,48475
48437,"2023 Plumas Arboga 8, North Regional Pond",39.043,-121.531,100,America/Los_Angeles,5611,48437
48764,2023 Rancho Jamul North Pond - fix lat lon,32.685,-116.856,100,America/Los_Angeles,9321,48764
48765,2023 Rancho Jamul Site 1 fix lat lon,32.685,-116.856,100,America/Los_Angeles,9045,48765
48447,2023 San Luis Bear Creek,37.23928,-120.821,100,America/Los_Angeles,2735,48447
48464,2023 San Luis NWR - West Bank Creek,37.2663,-120.834,100,America/Los_Angeles,3376,48464
48466,2023 Sedgwick,34.695,-120.042,100,America/Los_Angeles,9000,48466
48478,2023 South Virginia Road 3,39.0639,-121.48,100,America/Los_Angeles,4026,48478
48456,2023 Virginia at Ostrom,39.07692,-121.494,100,America/Los_Angeles,4101,48456
48398,2023 WA Harder Spring,46.65726,-118.5,100,America/Los_Angeles,8707,48398
48393,2023 WA McCain Wetlands,46.85151,-119.183,100,America/Los_Angeles,8577,48393
48747,2023 Weagell Property 1,38.48589,-121.276,100,America/Los_Angeles,4323,48747
48458,2023 Weagell Property 2,38.48585,-121.275,100,America/Los_Angeles,3898,48458
48439,2023 West of Davis,33.84926,-117.129,100,America/Los_Angeles,3877,48439
48471,2023 Wind Wolves Preserve site 1,34.953,-119.24,100,America/Los_Angeles,7856,48471
48469,2023 Wind Wolves Preserve Site 2,34.922,-119.309,100,America/Los_Angeles,7858,48469
48880,Panoche Creek - Corrals SE try 2,36.58749,-120.765,100,America/Los_Angeles,3163,48880
8066,testing,0,0,0,Etc/GMT,236,8066
32016,Testing Data 2021 RG1,38.863,-121.287,100,America/Los_Angeles,227,32016
32010,Training Data 2021 PA,39.03,-121.537,100,America/Los_Angeles,21,32010
32015,Training data 2021 RG1,38.863,-121.287,100,America/Los_Angeles,227,32015
34129,WRONG TIME FIX 2022 Panoche Creek Loc 3,36.591,-120.591,100,America/Los_Angeles,0,34129